Complexity,Loss,Equation
1,0.11285797,"0.012624753"
3,0.10533326,"1.526234 - X"
5,0.09639064,"(X * -3.8010466) - -5.765756"
7,0.09327534,"(Y + (X - 3.0308363)) * -2.4211388"
9,0.086836144,"((Z + -1.5478635) * (X + -1.5237623)) * 13.856018"
11,0.08652215,"(((X + -1.5182015) * Y) * 13.457687) * (Z + -1.5310459)"
13,0.086409084,"Y * ((Y * ((Z + -1.5211717) * (X + -1.5119035))) * 12.722225)"
15,0.086284496,"Y * (((Z + -1.5253135) * ((Z * (Z + -2.5072238)) + X)) * 12.917078)"
17,0.086265065,"(Z + -1.5289441) * (((X + -0.4318916) + ((Z * (Z + -1.979546)) * Z)) * 15.745878)"
19,0.08625107,"(((Y * -0.34894395) + X) + ((Z * (Z + -1.9360526)) * Z)) * ((Z + -1.5289901) * 20.279041)"
21,0.08624572,"(((X + ((Z + -1.9379416) * (Z * Z))) + (Y * -0.3502003)) * ((Z + -1.5247722) * 20.297098)) - 0.004215657"
23,0.08623741,"(X + (((Z + -1.9904965) * (Z * Z)) + -0.40604308)) * ((((Y * Y) * Y) + 14.904269) * (Z + -1.5272803))"
25,0.08604221,"((((Z + X) * 2.2278392) - 6.6961575) * ((((X * -2.1507978) + ((Y * 1.7167217) * Y)) * 5.671446) + 4.5044994)) * (Z + -1.5279847)"
27,0.08601441,"((((Z + X) * 2.1458762) - 6.4511137) * ((((X * -2.1282127) + ((Y * Y) * 1.7079844)) * (X * 5.1913967)) + 4.483575)) * (Z + -1.5277666)"
29,0.08600287,"(((X * (((X * -2.297544) + (Y * (Y * 1.8512266))) * 5.1790676)) + 4.51993) * ((((Z + X) * 2.1452625) - 6.466928) * (Z + -1.5212823))) + -0.0062354775"
