Complexity,Loss,Equation
1,0.08803302,"0.01078975"
3,0.0827351,"1.5243387 - X"
5,0.07827661,"2.2999723 - (X * Y)"
7,0.077143945,"(3.813086 - (Y * X)) - Z"
9,0.07591465,"((Z + -1.5875714) * (Y + -1.5208366)) * 9.779644"
11,0.07540158,"((Z + -1.5480846) * (Y + -1.519754)) * (X * 10.435221)"
13,0.07502009,"(X * (((Z + -1.5449986) * 9.0363035) * (X + -1.5191659))) * X"
15,0.07460615,"((Z * 14.092315) + -21.681868) * (((X * Y) + -2.2932081) * (Z + -0.8016112))"
17,0.074571595,"((Y * X) + -2.2916615) * ((Z * (Z - 0.6733769)) * ((Z * 8.937205) + -13.716266))"
19,0.07453532,"(Z - 0.50201094) * (((Z * ((Z * 5.788507) + -8.8516)) * Y) * ((Y * X) + -2.2879279))"
21,0.07449043,"((Y * ((Z * 7.353085) + -11.23671)) * ((Y * Z) - (X * 0.66629267))) * ((Y * X) + -2.2878282)"
23,0.074472636,"((Y * (((Y * X) + -2.2875557) * ((Z * 5.797853) + -8.849583))) * ((Z * Y) - (X - 0.42425904))) * Y"
25,0.074462496,"((((Y * Z) - (X - 0.4244581)) * Y) * Y) * ((((Y * X) + -2.2832918) * ((Z * 5.795191) + -8.851402)) - -0.001346728)"
27,0.07444717,"(((Y * ((Y * Z) - (X - 0.43787408))) * ((((Y * X) + -2.2902958) * ((Z * 5.789589) + -8.8569765)) - -0.032188956)) * Y) + -0.087394826"
29,0.07442989,"Y * ((((((Y - X) + 1.3599267) * Y) - X) * ((Y * Y) * ((Z * 5.797305) + -8.846596))) * (((Y * X) + -2.2879057) * X))"
