Complexity,Loss,Equation
1,0.08995267,"0.010533668"
3,0.08527551,"1.5241053 - X"
5,0.08121963,"2.2997627 - (Y * X)"
7,0.08036757,"3.8128386 - ((X * Y) + Z)"
9,0.080140024,"((Y + -2.5826738) * (Z + -2.9359398)) - X"
11,0.07993218,"((Z - 3.8140926) + (X * Y)) * (Z + -2.1766534)"
13,0.07839147,"(X + -1.5289677) * ((Y + -1.53038) * ((X - 0.8349587) * 43.93846))"
15,0.07831878,"((Y + -1.5275816) * ((X + -1.527238) * (Z * 34.162457))) * (X - 0.80481)"
17,0.07829557,"(((X + -1.5316768) * (((X - 0.7984423) * (Y + -1.5308721)) * 32.657036)) + -0.0048217713) * Z"
19,0.07813814,"(((Z * X) * (Y + -1.7986022)) + 0.6238538) * ((Y * ((X + -0.9584624) * 13.613152)) - 11.551633)"
21,0.07811749,"((((Y + -1.7744321) * Z) * X) + 0.5705779) * (((X + -1.2054734) * ((Y * Y) * 9.577682)) - 6.854169)"
23,0.07810584,"((((X * Z) * (Y + -1.7740902)) + 0.5700657) * ((((Y * 9.577687) * (X + -1.2072692)) * Y) - 6.854386)) + -0.00399215"
25,0.07809952,"((((Z * (X * (Y + -1.774963))) + 0.5711025) * ((((Y * (X + -1.1655626)) * Y) * 13.128808) - 10.637842)) - 0.0064142323) * 0.69697136"
27,0.078084596,"(((X + -1.1569682) * (Y * (Y * 12.90348))) - 10.643965) * (((((Y + -1.7768391) * Z) * X) + 0.5732198) * ((Y - Z) + 0.69508505))"
29,0.0780714,"(((((Y + -1.7768153) * (X * Z)) + 0.5741354) * ((Y - Z) + 0.6901184)) * (((Y * Y) * ((X + -1.1654838) * 13.128496)) - 10.644237)) - 0.004293181"
