Complexity,Loss,Equation
1,0.10007705,"0.01069075"
3,0.0948403,"1.5250328 - Y"
5,0.0898177,"2.3062034 - (Z * Y)"
7,0.087996595,"(3.8181849 - (Y * X)) - Z"
9,0.08581113,"((1.6033198 - Z) * 9.578371) * (1.5219005 - Y)"
11,0.08537458,"((1.5615245 - Z) * (1.5224205 - Y)) * (Y * 9.726884)"
13,0.085016705,"((X * -10.040565) + 15.266998) * ((1.5318185 - Z) * (Z * Y))"
15,0.0847837,"(Y * (1.5432334 - Z)) * ((((X * -3.6505127) * Y) + 8.4049225) * Y)"
17,0.084619656,"(Y * ((Y * Y) * ((X * (Y * -3.4116526)) + 7.8259583))) * (1.5298843 - Z)"
19,0.0846151,"((((Y * Y) * Y) * (((X * Y) * -3.417525) + 7.8242717)) * (1.5303731 - Z)) + 0.0025509794"
21,0.08459397,"((Y * ((Y + Y) - X)) * ((X * (Y * -3.4143183)) + 7.832629)) * (Y * (1.5301405 - Z))"
23,0.08458001,"((Y * (X * -0.6552999)) + 1.5021212) * ((1.5273993 - Z) * (1.6026727 - ((Y * Y) * (Y * (Y * -3.6057448)))))"
25,0.08454695,"((1.5262263 - Z) * ((X * (Y * -0.70464355)) + 1.6150885)) * (2.6214612 - ((Y * Y) * ((Y * (Y * -2.3140235)) * Y)))"
27,0.08452124,"((2.9481454 - (((Y * Y) * (Y * (Y * Y))) * (Y * -1.4578012))) * (1.5252012 - Z)) * (((X * -0.80073375) * Y) + 1.835515)"
29,0.08451759,"((2.9481454 - ((Y * ((Y * Y) * (Y * Y))) * (Y * -1.4578042))) * ((1.5255809 - Z) * (((X * -0.80056566) * Y) + 1.8335173))) + 0.0020724607"
