Complexity,Loss,Equation
1,0.096579544,"0.011360096"
3,0.09092849,"1.5256759 - Y"
5,0.085218295,"2.306912 - (Y * Z)"
7,0.08313269,"3.8188744 - (Z + (X * Y))"
9,0.08180139,"((Y + -1.6583498) * (Y + -1.5160192)) * 9.237951"
11,0.08103182,"(Y + -1.5878738) * ((Y + -1.5131562) * (Z * 10.37063))"
13,0.08031295,"Z * (((Y + -1.5597897) * (Z * 10.599117)) * (Y + -1.5092071))"
15,0.07941016,"(Z + -0.8200859) * (((Y + -1.5106932) * ((X * Y) + -2.3481152)) * 19.918112)"
17,0.07935486,"(Z + -0.822124) * (((((Y * X) + -2.3197281) * (Y + -1.5252236)) * 19.918602) - 0.014729887)"
19,0.07933013,"(Z + -0.742359) * ((((Y * X) + -2.3192968) * ((Y * (Y + -1.5236434)) * 13.406827)) + -0.014426311)"
21,0.07931221,"Y * (((((X * Y) + -2.31803) * ((X + -0.64222133) * ((Y + -1.5239251) * 8.533667))) - 0.0051673753) * Y)"
23,0.07930351,"(Y - 0.6083845) * (Z * (((((((X * Y) + -2.1600447) * (Y + -1.5754415)) + 0.12741357) * 8.352915) * X) - Y))"
25,0.07925878,"(((((Y + -2.2199337) * X) * 2.2092495) + (Y * Y)) * (((Y * X) + -2.3141382) * (Y * (Y * Y)))) - 0.011781988"
27,0.07924864,"Y * ((((((X * Y) + -2.2922614) * (((Y + -2.200224) * (2.24944 * Z)) + (Y * Y))) + -0.12309332) * (Y * Y)) - -0.27518365)"
29,0.07924856,"Y * (((((((((Y + -2.2040424) * Z) * 2.2370136) + (Y * Y)) * ((Y * X) + -2.2926517)) + -0.12009699) * (Y * Y)) * 1.0051384) - -0.26967132)"
